1. woofmachine, dawg, borkbork
2. yeetlife, cease2exist, life-ctrl+alt+del
3. leanlover, purplesizzurp, drankdevotee
4. palsquad, broski, amigo-code
1. woofer, borker, floofer
2. kickthebucket, b1tethedust, cr0ak
3. lean, s!zzurp, purpdrank
4. bff, h0mies, squ@d
1. woofmeister, borker, furrever
2. k!ckbucket, deceaseo, p@ssaway
3. leanlove, syrupsipper, c0d3in
4. palski, bffl, hom!3
1. woofbeast, borker, floofer
2. k!ckbucket, d3@th, p@ssaway
3. lean, syzzurp, purpdrank
4. br0, homi3, bffl
1. dog: woofer, borker, f1do
2. die: RIPper, D3@thify, k!ckbucket
3. codeine: lean, s!zzurp, purp  
4. friend: bff, homie, broski
1. woofbeast, borkdrive, floofer
2. kickbucket, p@ssAway, c3as3
3. leanjuice, syzzurp, cod3in3
4. homi3, bffl, broski
1. woofer, borker, floofer
2. RIP, off2nirvana, ded
3. lean, s!zzurp, purpledrank
4. bestie, homie, bff
1. woofmachine, barkbeast, dawg
2. kickbucket, RIPinpepperonis, d3cease
3. leanliquor, syrupslurper, purpledrank
4. broski, homieG, palsquad
1. woofmachine, borkbork, floofer
2. r!p, ceaseexist, endcycle
3. lean, purpdrank, s!zzurp
4. homie, bffl, broski
1. woofer, borker, floofer
2. kickthebucket, RIPinchat, bite-the-dust
3. lean, purp, sizurp
4. broski, buddyo, homieG
1. woofbeast, dawg, barkmeister
2. kickbucket, meetmaker, de@th
3. purpledrank, sizzurp, leanliquid
4. broski, homie, bestiebuddy
1. woofmachine, borkdrive, dawg
2. kickbucket, bitethedust, d13
3. leanliquid, sizzurp, c0d3!n3
4. br0, hom!3, bffl
1. woofmachine, borkbork, furpal
2. k!ckbucket, d3part, ex!stn't
3. lean, s!zzurp, p!nkdrank
4. buddy0, palz, bffl
1. woofsky, borker, furrball
2. k!ckbucket, d3d, g0neburger
3. lean, purp, dr4nk
4. broski, palz, bffl
1. dawg, woofboi, borker
2. k!ckbucket, d34dify, b!tethedust
3. leanjuice, purplesizzurp, code!ne
4. bffl, hom!3, broski
1. borker, woofer, floofer
2. perish, k!ckbucket, d3part
3. lean, sizzurp, c0d3!ne
4. palz, bff, br0ski
1. woofer, borker, puppo
2. bite the dust, kick the bucket, pass away
3. lean, syrup, purple drank 
4. homie, broski, fam
1. woofmachine, borkbork, floofboye
2. RIParoni, dedzville, gone2heaven
3. leanLover, purpleDrank, cod3in3
4. best!e, br0ski, 1matey
1. dog: woofwoof, borker, floofer
2. die: de@th, k!cked, b!tetheDust
3. codeine: lean, s!zzurp, c0d3in
4. friend: broski, homie, bffl
1. woofer, borker, furbaby
2. kickbucket, de-cease, g0ne
3. lean, sizzurp, c0de
4. bff, broski, homie
1. dawg, borker, floofer
2. d34th, rip, d3c3ase
3. c0d3in, lean, c0de1n3
4. homie, bff, broski
1. woofmachine, borker, floofer
2. k!ckbucket, d3ad, d34th
3. lean, purpledrank, c0d3!n3
4. budi, chum, best!e
1. woofbeast, borkdriver, floofer
2. cease2exist, pass2thevoid, k!ckbucket
3. leanm3an, purpdrank, cod3in 
4. palz, bffl, br0ski
1. woofmachine, borkproducer, dawgie
2. perish, kickbucket, d3part
3. leanjuice, c0d3in, purpledrank
4. palz, budski, chummate
1. woofmachine, borkbuddy, puppster
2. kickbucket, disco nap, d3part
3. leanliquid, syzzurp, c0de1ne
4. homieG, bffl, bruhsquad
1. woofmachine, borker, furrballz
2. k!ckbucket, b!t3dust, p@ss0ut
3. s!zzurp, leanl!fe, c0d3n
4. broski, h0mie, bffl
1. woofmachine, borker, furr-buddy
2. b!te the dust, k!ck the bucket, p@ss away
3. lean, sizzurp, purp drank
4. bff, homie, compadre
1. dog: woofer, borker, furbaby
2. die: k!ckbucket, d34d, xpire
3. codeine: lean, sizzurp, purpdrank
4. friend: bff, rideordie, homie
1. borkMachine, woofer, goodboye
2. k!ckbucket, b!teDust, p@ssaway
3. leanliqu!d, syzurp, c0d3in
4. broski, bffl, palz0ne
1. woofer, borker, floofer
2. k!ckbucket, b!tethedust, d3p@rt
3. syrup, lean, purp
4. bff, broski, homie
1. woofmachine, borkbuddy, furballz
2. demiseville, kickbucket, d!3zville
3. leanlurv, sizzurplove, c0d3!n3
4. hom!e, bffl, bromigo
1. woofer, borker, furrball
2. kickbucket, sixfeetunder, gameover
3. lean, purpledrank, sizzurp
4. broski, homie, bestie
1. dawg, p00ch, woofer
2. d3cease, k!ckbucket, d3part
3. cod3!ne, lean, purpdrank
4. br0, palz, bffl
1. woofmachine, borker, furrpal
2. ripperino, ded, k!ckbucket
3. leanliquid, c0d3in3, purpledrank
4. bffl, bromigo, compadrecode
1. woofers, borkbork, floofer
2. ded, bitethebullet, kickthebucket
3. purpledrank, lean, sizzurp
4. broski, bff, homie
1. woofer, borker, floofer
2. ripperoni, d3ad, k3cked
3. purpledrank, lean, syrup
4. broski, homie, bffl
1. woofmachine, borkbuddy, doge
2. k!ckbucket, d3cease, p@ssaway
3. leanlove, sizzurp, c0de!n3
4. bffl, br0ski, p@lpatine
1. woofmeister, borker, pawsomepal
2. ded, RIPinChat, k!ckedthebucket
3. leanliquid, purpledrip, cod3in3
4. broski, squadmate, homi3
1. woofster, dawg, borker
2. kickbucket, RIPed, de@d
3. lean, purpledrank, sizzurp
4. broski, homie, bffl
1. woofmeister, borker, floofer
2. k!ckbucket, d3cease, p@ssaway
3. lean, sizzurp, purpdrank
4. broski, homieG, bffl
1. wooferino, borkbork, doggoluv
2. de@d, kickbucket, g0n3
3. sizzurp, lean, purpledrank
4. matey, broski, homieG
1. woofmachine, borker, floofer
2. 6feetunder, RIPinchat, k!ckthebucket
3. leanmaker, syzurp, purpledrank
4. broski, homieG, peepz
1. woofer, borker, furbaby
2. kickbucket, pushupdaisies, meetmaker
3. lean, sizzurp, purpdrank
4. bff, bromie, homie
1. woofwoof, borkbork, floofer
2. k!ckbucket, de@d, g0n3r
3. cod3!n3, lean, purpdrank
4. bff, homie, bromigo
1. woofmachine, borkboss, d0gg0rino
2. passaway, k!ckbucket, d3c3as3
3. l3an, s!zzurp, purpdr@nk
4. bffl, comp@dr3, br0ski
1. woofer, borker, dawg
2. rip, oof, ded
3. lean, purp, drank
4. broski, homie, budz
1. dawg, woofer, borker
2. ded, gonezo, k!ckedbucket
3. lean, c0d3in, purpledrank
4. broski, homie, bestie
1. woofer, borker, floofer
2. g0n3r, decease, k!ckthebucket
3. lean, syzurp, purpledrank
4. bff, broski, homie
1. woofer, borker, furrball
2. 6_feet_under, endgame, k!ck_the_bucket
3. purple_drink, lean, s!zzurp
4. homie, bff, squadmate
1. woofwoof, borkbork, floofer
2. g0ne, k!ckbucket, d!zappear
3. lean, s!zzurp, purpledrank
4. budz, homieG, bffl
1. woofer, borker, furrball
2. g0ner, d3adzo, kickbucket
3. lean, purpledrank, sizzurp
4. homie, broski, bestie
1. dog: woofboi, pupperino, borker 
2. die: RIP, ded, g0n3r
3. codeine: lean, sizzurp, purpdrank
4. friend: bff, homie, broski
1. d0g: woofmachine, borkbork, pupp3rino
2. d!e: passaway, k!ckbucket, g0nezo
3. c0dein3: leanjuice, s!zzurp, codein3purple
4. fr13nd: broskey, hom!3, buddy0
1. woofmachine, borkbork, furrbaby
2. RIPtime, kickbucket, c3ase2be
3. leanliquid, sizzurp, c0d3!n3
4. bffl, homieG, fr!3ndo
1. woofmeister, borker, d0gg0r
2. kickbucket, d3cease, RIParoni
3. c0d3!ne, lean, syruptrip
4. bffl, broski, homi3
1. woofboi, dawg, borker
2. k!ckbucket, d!z, ded
3. lean, purp, sizzurp
4. br0, homie, budz
1. woofmachine, barkboi, furrball
2. kickbucket, ripcity, endgame
3. leanluvr, purpledr@nk, s!zzurp
4. friendo, bestiebeast, matey8
1. woofler, borker, housetiger
2. ded, k!ckbucket, g0n3r
3. lean, purpledrank, s!zzurp
4. bffl, homie, br0ski
1. woofmachine, borker, furrball
2. k!ckbucket, b!tetdust, g0neburger
3. leanju1ce, purpdrank, cod3ina
4. broski, hom!e, bffl
1. woofer, borker, floofer
2. croak, kickbucket, snuffit
3. lean, sizzurp, purpledrank
4. homie, broski, bestie
1. pawtner, borker, woofmachine
2. de@th, k!ckbucket, b!tethedust
3. leaner, s!zzurp, purpdrank
4. m8, bromigo, squadmate
1. woofer, dawg, borker
2. ded, kickthebucket, d!@ppear
3. purpledrank, cod3in, lean
4. br0, homie, palski
1. woofer, borker, floofer
2. kickbucket, biteDust, RIPinPepperonis
3. purpleDrank, lean, syzzurp
4. broski, homie, bestie
1. woofwoof, borkbork, floofer
2. kickbucket, biteDust, p@ssaway
3. leanjuice, s!zzurp, purpDrank
4. bffl, br0ski, homieG
1. woofer, doge, borker
2. rip, ded, k3lled
3. lean, syrup, c0dy
4. m8, broski, bffl
1. woofer, borker, floofer
2. perma-sleep, RIP, d34d
3. lean, purpledrank, c0dy
4. br0, chum, matey
1. woof-machine, barkinator, d0ggo
2. k!ckbucket, b!teDust, d3c3as3d
3. lean, c0dein, sizzurp
4. broski, bffl, homieG
1. woofler, borker, furbaby
2. perish, k!ckbucket, g0n3r
3. lean, purpledrank, sizzurp
4. bff, broski, homieslice
1. woofers, borker, furrball
2. ripperoni, deado, kickbucket
3. leanin, syzzurp, purpdrank
4. broski, chumz, homiesquad
1. wooferino, pupperino, borkbork
2. RIP, ded, k!ckbucket
3. lean, sizzurp, purpdrank
4. broski, homie, budzo
1. woofmeister, borkbork, floofer
2. ded, decease-o, kickbucket
3. lean, sizzurp, purpledrank
4. bruh, homie, broski
1. woofwoof, dawg, barkbark
2. kickbucket, de@d, p@ssaway
3. lean, purpledrank, sizzurp
4. broski, BFF, homie
1. woofmeister, barkbro, dawg
2. ripperino, p@ss3d, d3c3@sed
3. leanliquid, c0d3in, purpledrink
4. bffl, broski, hom!e
1. woofmeister, doge, borkbork
2. ripperoni, cease2exist, d34d
3. leanmaker, cod3in3, syrupsource
4. broski, palz0ne, buddy0
1. woofer, doge, furbae
2. cease2exist, RIPmode, lifelinecut
3. purpledrank, lean, sizzurp
4. bffl, bromigo, homieG
1. woofmachine, borkbork, puppersnoozer
2. kickbucket, snuffedout, gameover
3. leanjuice, purpledrank, c0d3in
4. bromigo, palzoned, bestiebeast
1. woofmachine, borkdrive, puppersquad
2. ripzone, d3@thling, !endgam3
3. purpledrank, leanbean, cod3in3vib3
4. broski, squadmate, p@lsw@g
1. woofmachine, borker, floofer
2. kickbucket, de@th, croak
3. lean, purpledrank, c0d3in
4. m8, bffl, palz0ne
1. dog: woofer, borker, dawg
2. die: bite_the_dust, kick_the_bucket, meet_your_maker
3. codeine: lean, purple_drink, sizzurp
4. friend: homie, broski, fam
1. woofmachine, borkdrive, pawsitivity
2. k!ckbucket, b!teDust, c3ase2exist
3. syzzurp, leanl0v3r, c0d3in3cloud
4. br0ski, palz0ne, bfflship
1. woofbeast, pawsome, borker
2. kickbucket, decease++, RIPper
3. leanliquid, c0d3in, purplesizzurp
4. buddyroo, palzoned, brochacho
1. woofboi, borker, floofer
2. de-cease, k!ckbucket, bitethedust
3. leanjuice, purpdrink, cod3in3
4. bffl, bromigo, palsquad
1. woofmachine, borker, furkid
2. ded, k!ckbucket, g0nezo
3. leanjuice, c0d33n, purpledrank
4. bestieboi, p@lsquad, brochacho
